dataset,model,seed,lambda_physics,epochs_requested,best_epoch,training_time_sec,params,model_size_mb,rmse,mae,r2,physics_error,boundary_flux_error,fft_error,mae_center,mae_boundary,latency_ms,flops,energy_per_inference_mj_proxy,normalization_protocol,strict_reproducibility
D6,CNN,1,0.03,75,69,173.3627119064331,730041,2.7848854064941406,0.0003914864552466,0.0002695340026855,0.9999268186153092,0.0269569080943862,0.0001770048729667,0.003849204047583,0.0004204080541967,0.0002075519684391,0.083641358313785,202424000,,train_only_channelwise_standardization,True
D6,CNN,2,0.03,75,14,67.14843153953552,730041,2.7848854064941406,0.0008590939911988,0.0005378543233235,0.9996475897724344,0.0644657627368966,0.000354410255871,0.0071454087349896,0.0007795208609119,0.0004760799153397,0.0832549134350341,202424000,,train_only_channelwise_standardization,True
D6,CNN,3,0.03,75,59,170.63146114349365,730041,2.7848854064941406,0.0006797380260527,0.0005228550374348,0.9997793772604716,0.0322870078186194,0.0002287749982012,0.0049395429668948,0.0006395516829797,0.000645063308184,0.0832785069402577,202424000,,train_only_channelwise_standardization,True
D6,CNN,4,0.03,75,8,53.16506052017212,730041,2.7848854064941406,0.000952361535899,0.0006490716593424,0.9995669173011426,0.1024031303822994,0.0005464399194655,0.0093715985616048,0.0008336903071419,0.0007510449649998,0.0833672390359899,202424000,,train_only_channelwise_standardization,True
D6,CNN,0,0.1,75,17,73.72603130340576,730041,2.7848854064941406,0.0009417661830901,0.000580271323649,0.999576500087884,0.0552639197558164,0.0004194113280391,0.0080981521556774,0.0008997946958212,0.000583292125763,0.0834001187721024,202424000,,train_only_channelwise_standardization,True
D6,CNN,1,0.1,75,5,46.23718333244324,730041,2.7848854064941406,0.0014000975801884,0.001021537923177,0.9990639829686307,0.1054032786438862,0.0005189126483552,0.0119402404719342,0.0014162045845296,0.0008565900498069,0.0834955590898575,202424000,,train_only_channelwise_standardization,True
D6,CNN,2,0.1,75,40,126.77421855926514,730041,2.7848854064941406,0.0006815885070288,0.0004429385274251,0.9997781744032636,0.0432921573519706,0.0002707295473859,0.0062043867462004,0.000586078123888,0.0005263105000873,0.083142756551936,202424000,,train_only_channelwise_standardization,True
D6,CNN,3,0.1,75,30,104.2333881855011,730041,2.7848854064941406,0.0008824511595909,0.0006150224690755,0.999628166514784,0.0564047874261935,0.0003631475750201,0.007385317934677,0.0006881469647244,0.0009336767543572,0.0829746933195038,202424000,,train_only_channelwise_standardization,True
D6,CNN,4,0.1,75,65,172.97108459472656,730041,2.7848854064941406,0.0006169542572061,0.0003680466756184,0.9998182505640342,0.0271620722487568,0.0002208247460657,0.0052660403307527,0.0005921272919901,0.0003220414704022,0.0831053484285223,202424000,,train_only_channelwise_standardization,True
D6,CNN,0,1.0,75,22,85.13325762748718,730041,2.7848854064941406,0.0016195870281452,0.0009646076782226,0.9987475058087012,0.0546000770603617,0.0003297628378883,0.0117177516998102,0.000906257177121,0.0011290806190421,0.0828696563300015,202424000,,train_only_channelwise_standardization,True
D6,CNN,1,1.0,75,66,172.26525712013245,730041,2.7848854064941406,0.0011250047683614,0.0006819193929036,0.9993956676155532,0.024426258324335,0.000279490086541,0.0088978244069342,0.0005298771842111,0.0009680003956115,0.0827911080441613,202424000,,train_only_channelwise_standardization,True
D6,CNN,2,1.0,75,32,108.21180486679076,730041,2.7848854064941406,0.0013890280851971,0.0007673150594075,0.999078725193493,0.0833832869927088,0.0004898491752101,0.0104905669577419,0.001049562197295,0.0009658006844498,0.0829427988956803,202424000,,train_only_channelwise_standardization,True
D6,CNN,3,1.0,75,28,99.11637544631958,730041,2.7848854064941406,0.0016410569460989,0.000938335974121,0.9987140785388654,0.0746317443748315,0.0003384405281394,0.0118608338137467,0.000752157124225,0.0012017105715737,0.0828229012372701,202424000,,train_only_channelwise_standardization,True
D6,CNN,4,1.0,75,40,126.84857177734376,730041,2.7848854064941406,0.0012628301553893,0.0008375181233723,0.9992385225814692,0.047866535373032,0.0003176981020563,0.0096490924091388,0.0009693543834146,0.0010599991752921,0.0828594320278236,202424000,,train_only_channelwise_standardization,True
D6,CNN,0,10.0,75,11,59.96632981300354,730041,2.7848854064941406,0.003759837035983,0.0025908400878906,0.9932499780649184,0.0860959844042857,0.0007186554333505,0.0287915195027987,0.0026595946401357,0.0033009347971528,0.0831155322384143,202424000,,train_only_channelwise_standardization,True
D6,CNN,1,10.0,75,73,172.70262098312378,730041,2.7848854064941406,0.0030509936022312,0.0022810124348958,0.9955552254749108,0.037959628428022,0.0005593759706243,0.0238580076644818,0.0021742417593486,0.0028585958061739,0.0827108928258868,202424000,,train_only_channelwise_standardization,True
D6,CNN,2,10.0,75,11,59.66148996353149,730041,2.7848854064941406,0.0035224366700052,0.0024379265625,0.9940754751102144,0.1368595771491527,0.0009293879314403,0.030456881194065,0.0024242867560436,0.0032062388102834,0.0836016421300777,202424000,,train_only_channelwise_standardization,True
D6,CNN,3,10.0,75,53,155.47451829910278,730041,2.7848854064941406,0.003916243223202,0.0029615081705729,0.9926767062670456,0.0474134543910622,0.0006788843408382,0.0326434926440318,0.0025774100213311,0.0039236954180523,0.0832348360099654,202424000,,train_only_channelwise_standardization,True
D6,CNN,4,10.0,75,24,89.41870522499084,730041,2.7848854064941406,0.003298561655488,0.0023020825520833,0.9948046315419504,0.0825248615195353,0.0006361103636057,0.0247739148326218,0.0022496443707495,0.0030227182627034,0.0832073552452999,202424000,,train_only_channelwise_standardization,True
D6,CNN,0,100.0,75,14,66.67251491546631,730041,2.7848854064941406,0.0044548768712306,0.0030535057617187,0.9905237054557144,0.1061004698276519,0.0009124030232972,0.0352454138919711,0.0033571892223941,0.0039466726011596,0.0833771596460238,202424000,,train_only_channelwise_standardization,True
D6,CNN,1,100.0,75,35,115.25205373764038,730041,2.7848854064941406,0.0048804147758774,0.0036909510742187,0.9886268541744444,0.0618743086233735,0.0009759381306745,0.0424830199529727,0.003302782579946,0.0048810550554965,0.0829672967286213,202424000,,train_only_channelwise_standardization,True
D6,CNN,2,100.0,75,9,55.69184231758118,730041,2.7848854064941406,0.0056179672810593,0.0041489751953125,0.984929573190774,0.0614406929040948,0.0008471190133908,0.0438229941452542,0.0032762903526114,0.0051341345145677,0.0828265725378541,202424000,,train_only_channelwise_standardization,True
